gameId,gameDuration(seconds),gameVersion,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,kills,deaths,assists,totalDamageDealtToChampions,visionScore,goldEarned,averageChampLevel,totalMinionsKilled
3324342462,922,10.5.312.392,100,Fail,False,False,False,False,False,True,0,0,0,0,1,7,17,10,21654,40,23809,8.8,296
3324342462,922,10.5.312.392,200,Win,True,True,False,False,True,False,2,0,0,2,0,17,7,15,27544,65,31093,10.0,368
3324297558,1273,10.5.312.392,100,Fail,False,False,True,False,False,False,3,1,0,0,0,42,52,84,124266,0,65618,17.8,261
3324297558,1273,10.5.312.392,200,Win,True,True,False,False,False,False,4,1,0,0,0,52,42,93,122577,0,73184,18.0,299
3324313224,1312,10.5.312.392,100,Fail,True,True,True,False,False,False,2,1,0,0,0,59,63,119,163502,0,69105,18.0,252
3324313224,1312,10.5.312.392,200,Win,False,False,False,False,False,False,4,1,0,0,0,63,59,143,138808,0,72588,18.0,278
3324239520,870,10.5.312.392,100,Fail,False,False,False,False,False,False,0,0,0,0,0,3,18,1,19203,42,19769,8.0,294
3324239520,870,10.5.312.392,200,Win,True,True,True,False,True,True,6,1,0,1,1,18,5,18,29053,57,30097,9.8,342
3323773800,1285,10.5.312.392,100,Fail,False,False,False,False,False,True,2,0,0,1,1,11,16,16,37744,80,34845,11.2,481
3323773800,1285,10.5.312.392,200,Win,True,True,False,False,True,False,5,0,0,2,0,16,11,18,41347,125,41929,11.6,478
3323498685,936,10.5.312.392,100,Fail,True,False,False,False,False,False,0,0,0,0,0,40,57,89,75302,0,49698,15.0,145
3323498685,936,10.5.312.392,200,Win,False,True,True,False,False,False,4,2,0,0,0,56,40,119,119888,0,55721,16.2,178
3323521588,1782,10.5.312.392,100,Fail,False,True,False,False,False,True,3,0,0,1,1,13,24,24,67975,173,51169,14.2,740
3323521588,1782,10.5.312.392,200,Win,True,False,False,True,True,False,5,0,1,3,1,24,13,35,72953,158,56410,15.4,785
3322563600,1971,10.5.312.392,100,Win,False,False,True,True,True,False,7,1,1,4,0,38,24,74,104960,189,66421,16.8,730
3322563600,1971,10.5.312.392,200,Fail,True,True,False,False,False,True,4,0,0,0,2,24,38,38,89751,192,58742,15.0,749
3322527093,1124,10.5.312.392,100,Win,True,True,False,False,True,True,2,0,0,2,1,20,5,44,40205,98,35853,11.2,435
3322527093,1124,10.5.312.392,200,Fail,False,False,False,False,False,False,0,0,0,0,0,5,20,9,36128,90,27645,9.8,412
3322369170,2020,10.5.312.392,100,Fail,True,False,False,False,True,True,3,0,0,3,1,28,40,50,117021,153,58414,15.8,673
3322369170,2020,10.5.312.392,200,Win,False,True,True,True,False,False,9,2,1,3,1,40,28,75,121574,183,67195,16.8,666
3322341663,2189,10.5.312.392,100,Win,True,True,True,True,False,True,10,1,1,3,1,35,32,60,115672,254,74602,17.4,901
3322341663,2189,10.5.312.392,200,Fail,False,False,False,False,True,False,6,0,0,3,0,32,35,53,119348,203,72180,17.2,887
3322350397,192,10.5.312.392,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,0,908,0,4353,2.2,32
3322350397,192,10.5.312.392,200,Win,False,False,False,False,False,False,0,0,0,0,0,0,1,0,1796,2,4761,2.6,44
3320560095,1535,10.5.312.392,100,Win,False,True,True,True,False,True,9,2,1,2,2,26,18,49,71589,172,52345,14.0,536
3320560095,1535,10.5.312.392,200,Fail,True,False,False,False,True,False,2,0,0,1,0,18,27,27,54638,140,45129,13.0,616
3320516692,1034,10.5.312.392,100,Win,True,True,False,False,True,True,5,0,0,2,2,14,4,14,30944,80,33582,10.4,474
3320516692,1034,10.5.312.392,200,Fail,False,False,False,False,False,False,1,0,0,0,0,4,14,3,19631,68,26209,9.6,428
3319976559,195,10.5.312.392,100,Fail,False,False,False,False,False,False,0,0,0,0,0,2,2,2,2602,2,5178,2.6,34
3319976559,195,10.5.312.392,200,Win,True,False,False,False,False,False,0,0,0,0,0,2,2,2,3555,0,5529,2.8,42
3318461032,1535,10.5.311.166,100,Win,False,True,True,True,False,True,8,2,1,1,1,30,19,52,79902,132,54982,14.4,585
3318461032,1535,10.5.311.166,200,Fail,True,False,False,False,True,False,0,0,0,2,0,19,31,31,48923,87,44356,13.0,579
3318446279,940,10.5.311.166,100,Fail,True,False,False,False,False,False,0,0,0,0,0,7,22,12,21815,48,23786,8.6,288
3318446279,940,10.5.311.166,200,Win,False,True,False,False,True,True,4,0,0,2,1,22,7,26,38421,52,35096,10.6,396
3318053610,1292,10.5.311.166,100,Win,True,True,True,False,True,True,5,1,0,3,2,20,9,32,42360,109,41939,12.0,505
3318053610,1292,10.5.311.166,200,Fail,False,False,False,False,False,False,2,0,0,0,0,9,20,13,35326,113,34593,10.8,509
3317809529,968,10.5.311.166,100,Fail,False,False,False,False,False,False,1,0,0,1,0,6,19,10,23825,60,26058,9.0,363
3317809529,968,10.5.311.166,200,Win,True,True,False,False,True,True,3,0,0,1,1,19,6,27,33512,59,33617,10.2,419
3317802974,1320,10.5.311.166,100,Fail,False,False,False,False,False,True,1,0,0,0,2,10,18,10,35412,73,34270,11.2,505
3317802974,1320,10.5.311.166,200,Win,True,True,False,True,True,False,4,0,1,3,0,18,10,31,44489,108,44744,13.0,532
3317614768,1783,10.5.311.166,100,Win,False,False,True,True,False,False,9,2,1,3,0,27,18,27,73610,155,57912,15.0,679
3317614768,1783,10.5.311.166,200,Fail,True,True,False,False,True,True,5,0,0,1,2,18,27,22,73541,147,53153,14.8,704
3317587042,1269,10.5.311.166,100,Win,True,True,False,False,True,False,7,0,0,2,1,27,16,32,59467,105,46046,13.2,482
3317587042,1269,10.5.311.166,200,Fail,False,False,False,False,False,True,2,0,0,0,1,16,27,7,44679,85,36659,11.6,517
3317602290,1553,10.5.311.166,100,Win,True,False,True,False,False,True,6,1,0,1,2,29,16,64,75926,158,50640,14.0,562
3317602290,1553,10.5.311.166,200,Fail,False,True,False,False,True,False,2,0,0,2,0,16,29,30,62339,128,44655,13.4,524
3317181631,1263,10.5.311.166,100,Fail,True,False,False,False,False,False,1,0,0,1,0,19,30,18,46120,85,37384,12.0,446
3317181631,1263,10.5.311.166,200,Win,False,True,False,False,True,True,5,0,0,2,2,30,19,33,61771,125,46787,13.0,502
3317074911,2270,10.5.311.166,100,Win,False,False,True,True,False,False,8,1,2,1,0,35,28,58,114407,242,75259,17.2,848
3317074911,2270,10.5.311.166,200,Fail,True,True,False,False,True,True,7,0,0,4,2,28,35,49,102461,279,71841,17.0,905
3316568729,1812,10.5.311.166,100,Win,True,True,True,False,False,False,4,3,0,0,0,83,72,184,285403,0,105127,18.0,429
3316568729,1812,10.5.311.166,200,Fail,False,False,False,False,False,False,3,2,0,0,0,71,83,178,243527,0,95651,18.0,400
3315952889,1538,10.5.311.166,100,Win,False,False,True,True,False,False,6,1,1,1,0,22,23,61,84553,146,49239,14.4,558
