,0
456,3355119611
457,3355040419
458,3354871838
459,3354807262
460,3354737908
461,3353532366
462,3353465329
463,3353341024
464,3353134810
465,3353015908
466,3353021031
467,3351983884
468,3351512582
469,3351410468
470,3350562515
471,3348040867
472,3347951433
473,3347871411
474,3347824357
475,3345292057
476,3345187981
477,3345202639
478,3344916806
479,3343888189
480,3343799338
481,3343476868
482,3343463655
483,3337623482
484,3337582206
485,3336217125
486,3325169968
487,3325110031
488,3324982322
489,3324772093
490,3382506781
491,3382494196
492,3382509937
493,3382434640
494,3382460394
495,3380121814
496,3380108120
497,3380104198
498,3380071346
499,3379988109
500,3379104996
501,3379013745
502,3378925241
503,3378507270
504,3378544916
505,3378522761
506,3378550507
507,3377719300
508,3373744901
509,3373716992
510,3372366545
511,3372393099
512,3372342908
513,3372325745
514,3372330415
515,3372265917
516,3372211011
517,3371690881
518,3371612330
519,3371458893
520,3371352383
521,3370472081
522,3370345946
523,3370199348
524,3370209828
525,3370105848
526,3370079490
527,3370064789
528,3370051005
529,3369246621
530,3369196941
531,3369203918
532,3368085883
533,3365729310
534,3364404723
535,3362899222
536,3362915663
537,3362778212
538,3362225390
539,3361515589
540,3361019532
541,3360868827
542,3360388560
543,3360328631
544,3359996537
545,3351707060
546,3350634934
547,3350478151
548,3350414457
549,3349980667
550,3349931904
551,3349805861
552,3348909580
553,3348954911
554,3348901951
555,3348218509
556,3348202747
557,3348177273
558,3348164748
559,3348140390
560,3348085187
561,3348038815
562,3346311957
563,3346071853
564,3346015254
565,3344406402
566,3344362409
567,3344234985
568,3344219842
569,3344144970
570,3343325822
571,3343314147
572,3343311664
573,3342999931
574,3342609892
575,3341497773
576,3341506003
577,3341503069
578,3341438465
579,3341453671
580,3341302863
581,3341082988
582,3340929276
583,3340940042
584,3340829521
585,3340657233
586,3340627733
587,3340600140
588,3340532499
589,3382438856
590,3382360839
591,3382241452
592,3381089853
593,3379718157
594,3379627628
595,3377776614
596,3376486024
597,3376157694
598,3376142008
599,3371581014
600,3371455319
601,3371396398
602,3370472831
603,3370177559
604,3369877255
605,3369799733
606,3369764518
607,3368501212
608,3366762320
609,3366736818
610,3366672799
611,3365178545
612,3361896490
613,3361892098
614,3360472846
615,3358532202
616,3356873432
617,3356855830
618,3353300480
619,3353126708
620,3353171042
621,3353013890
622,3347888564
623,3347838405
624,3347705950
625,3343938576
626,3343873519
627,3340694184
628,3339007080
629,3338847886
630,3338841827
631,3338746396
632,3338736689
633,3337423845
634,3337362232
635,3337332615
636,3335275077
637,3335178044
638,3335158674
639,3335121638
640,3335045476
641,3327443900
642,3325693991
643,3325544480
644,3324564559
645,3324358847
646,3324342462
647,3324297558
648,3324313224
649,3324239520
650,3323773800
651,3323498685
652,3323521588
653,3322563600
654,3322527093
655,3322369170
656,3322341663
657,3322350397
658,3320560095
659,3320516692
660,3319976559
661,3318461032
662,3318446279
663,3318053610
664,3317809529
665,3317802974
666,3317614768
667,3317587042
668,3317602290
669,3317181631
670,3317074911
671,3316568729
672,3315952889
673,3315811610
674,3315738396
675,3315691199
676,3315609332
677,3315597690
678,3315635183
679,3315286711
680,3315231100
681,3315021156
682,3314119315
683,3314064585
684,3312420563
685,3312343763
686,3382498628
687,3380794509
688,3380621246
689,3380289888
690,3380227271
691,3378572879
692,3377641154
693,3377555286
694,3376279845
695,3376193483
696,3373656723
697,3371934060
698,3371853333
699,3371782373
700,3371369478
701,3371420210
702,3369597592
703,3368651063
704,3368595509
705,3367468017
706,3367482868
707,3367438469
708,3363915805
709,3363869901
710,3363573000
711,3361599833
712,3361555648
713,3361503569
714,3361438438
715,3361374598
716,3359786720
717,3359754933
718,3359753143
719,3359309720
720,3359293429
721,3358690127
722,3358572717
723,3358491905
724,3357876489
725,3357814544
726,3357821382
727,3357748359
728,3357733242
729,3357657859
730,3357485893
731,3357404457
732,3357279384
733,3356850273
734,3356710994
735,3356056464
736,3356084119
737,3356060929
738,3356027835
739,3355995044
740,3355918985
741,3355943543
742,3355848630
743,3355640807
744,3355277502
745,3354187704
746,3354080977
747,3354043831
748,3353935166
749,3353923786
750,3353854179
751,3353530193
752,3352415837
753,3352390425
754,3352072219
755,3350809330
756,3350843184
757,3349712447
758,3349623033
759,3349521415
760,3349448443
761,3345231086
762,3341037717
763,3340967937
764,3340788706
765,3340180823
766,3338293555
767,3337543771
768,3337378604
769,3336312824
770,3335888770
771,3335565048
772,3335515899
773,3334582071
774,3334476599
775,3334184422
776,3333858542
777,3333802861
778,3333496245
779,3333530091
780,3333484512
781,3332999221
782,3332992878
783,3332886305
784,3381769905
785,3381617289
786,3381605732
787,3381593018
788,3381600430
789,3381468236
790,3381503895
791,3381408881
792,3380639636
793,3380614076
794,3380549504
795,3380535166
796,3380529538
797,3380513881
798,3380454096
799,3380440888
800,3380367593
801,3380355278
802,3380362773
803,3380319680
804,3380286914
805,3380313803
806,3380291144
807,3380238084
808,3379820188
809,3379742600
810,3379526534
811,3379244207
812,3379145645
813,3379104056
